customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
7639-LIAYI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic)
8012-SOUDQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check
9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic)
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic)
4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic)
1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
8769-KKTPH,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic)
5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
3957-SQXML,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
5954-BDFSG,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
1215-FIGMP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic)
0526-SXDJP,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic)
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic)
5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check
5122-CYFXA,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check
3410-YOQBQ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check
3170-NMYVV,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
7410-OIEDU,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check
2273-QCKXA,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check
0731-EBJQB,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check
1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
8028-PNXHQ,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic)
5630-AHZIL,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check
6416-JNVRK,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic)
5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check
0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
3887-PBQAO,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic)
5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check
8108-UXRQN,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
9919-YLNNG,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
0318-ZOPWS,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic)
4445-ZJNMU,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic)
1862-QRWPE,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
2796-NNUFI,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check
3016-KSVCP,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check
4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic)
2424-WVHPL,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check
7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check
6067-NGCEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
9848-JQJTX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check
9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic)
0278-YXOOG,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
3212-KXOCR,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
6380-ARCEH,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
3679-XASPY,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check
7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic)
5386-THSLQ,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic)
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
6180-YBIQI,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check
9750-BOOHV,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check
8597-CWYHH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check
2848-YXSMW,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check
4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic)
5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
5256-SKJGO,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check
3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check
9560-BBZXK,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic)
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
8402-OOOHJ,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic)
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic)
2928-HLDBA,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check
7219-TLZHO,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
4622-YNKIJ,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check
4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check
6734-PSBAW,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic)
3930-ZGWVE,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
2639-UGMAZ,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check
2876-GZYZC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
6207-WIOLX,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
8587-XYZSF,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic)
3091-FYHKI,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
7799-LGRDP,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic)
7850-VWJUU,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
3774-VBNXY,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
6217-KDYWC,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check
1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic)
2636-SJDOU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic)
1131-QQZEB,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic)
6837-BJYDQ,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
6440-DKQGE,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic)
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check
3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check
1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic)
9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check
3077-RSNTJ,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic)
9167-APMXZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic)
2749-CTKAJ,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check
7554-NEWDD,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
8992-VONJD,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check
4482-EWFMI,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
4648-YPBTM,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic)
2907-ILJBN,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
6345-FZOQH,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
3445-HXXGF,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
1159-WFSGR,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check
7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic)
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic)
5918-VUKWP,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic)
1744-JHKYS,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check
2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic)
5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
3712-PKXZA,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic)
6317-YPKDH,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic)
6582-OIVSP,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check
9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic)
5524-KHNJP,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic)
1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check
1024-GUALD,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
4827-USJHP,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check
8167-GJLRN,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check
0956-SYCWG,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check
8017-UVSZU,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic)
7100-FQPRV,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic)
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
2984-RGEYA,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
9680-NIAUV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic)
2146-EGVDT,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
2604-IJPDU,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check
9178-JHUVJ,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic)
6168-YBYNP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
7255-SSFBC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
3645-DEYGF,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
9323-HGFWY,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic)
8544-GOQSH,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic)
3363-DTIVD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check
7018-WBJNK,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic)
9142-KZXOP,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic)
7674-YTAFD,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic)
6348-SNFUS,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic)
1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check
7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
1347-KTTTA,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic)
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic)
4195-NZGTA,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check
7157-SMCFK,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
4709-LKHYG,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check
2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check
0699-NDKJM,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
9286-BHDQG,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic)
0230-WEQUW,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic)
2040-LDIWQ,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic)
6496-JDSSB,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic)
9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
4443-EMBNA,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic)
6469-MRVET,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check
5961-VUSRV,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic)
6778-JFCMK,No,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check
6341-JVQGF,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check
4811-JBUVU,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic)
0945-TSONX,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
2651-ZCBXV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic)
8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check
7083-MIOPC,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
1984-GPTEH,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check
1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check
0621-JFHOL,No,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check
9903-LYSAB,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
9227-UAQFT,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check
7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic)
6614-FHDBO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic)
7576-ASEJU,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic)
9058-HRZSV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check
4522-AKYLR,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check
0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check
0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check
9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check
0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check
0959-WHOKV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check
4075-JFPGR,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check
9514-JDSKI,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check
3282-ZISZV,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic)
3675-YDUPJ,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check
4111-BNXIF,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check
7017-VFHAY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic)
6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic)
